Node ID,Equivalent Stress,Stress X,Stress Y,Deformation X,Deformation Y,Shear
6528,82248577.4551,71946008.0465,16578818.2418,0.000851130306721,-6.6528365016e-05,-28905149.4598
6529,85460320.5071,75075048.6283,16931328.7167,0.000847918152809,-6.78075477481e-05,-29730197.2707
6530,50079613.4788,50165543.8559,176706.918116,0.00142015790939,-9.02531519532e-05,-270351.089324
6531,50144314.5782,50189011.6010,91628.7297649,0.00141502058506,-9.70753952861e-05,-187757.453535
6532,72546639.8444,53155209.8138,22234299.6824,0.000872695028782,-6.28398582339e-05,-32275085.3584
6533,74921435.8972,55605527.5145,22224323.7722,0.000870410084724,-6.35451078415e-05,-32980406.0346
6534,76057072.3202,53742178.2811,24488967.7366,0.000872354865074,-6.42016902566e-05,-34702725.4105
6535,89761860.2681,97242410.4781,17823185.3985,0.00072094142437,-9.24522355199e-05,2352922.72057
6536,92868531.3723,100183093.389,17384046.3956,0.000719654023647,-9.18323621154e-05,3016310.81104
6537,91561123.4096,99067485.6277,17798971.1307,0.000723544418812,-9.25679132342e-05,2278051.41892
6538,108116113.700,94890058.7899,18993626.4583,0.00064697265625,-7.45863839984e-05,37087820.4164
6539,112933981.129,97077887.8530,19712855.8159,0.00064632165432,-7.48483911157e-05,40228735.6059
6540,110272935.481,97582440.9667,18416984.8987,0.000649540185928,-7.51762241125e-05,36949409.2124
6541,50284601.3247,44738640.1040,-5022440.28364,0.000509756207466,1.94008927792e-05,-9610292.35295
6542,50321626.4485,45330568.3136,-4679229.48429,0.000505785167217,2.06242259592e-05,-9007373.72807
6543,65948626.6877,66504291.5344,1772709.07660,0.000664455473423,7.9874292016e-05,3703639.34835
6544,64912637.0595,65562561.7618,2053996.76377,0.000666158795357,8.18387567997e-05,3900740.62347
6545,64946356.7084,66081468.6730,3161469.71498,0.000670824229717,8.32326933742e-05,4090167.84032
6546,50400668.4164,50503258.6143,234679.632598,0.00134611403942,-8.47312808037e-05,-694084.000729
6547,50241080.6795,50375712.7126,299116.268754,0.0013625985384,-8.07067155838e-05,-691009.218494
6548,50361598.1556,50456332.7517,210419.712677,0.00136154210567,-8.69670137763e-05,-583605.068071
6549,44647446.4838,43698126.4750,-436455.156926,0.0010334353447,-1.68305207044e-05,-4640598.17791
6550,45169865.7447,44359211.3313,-359312.765749,0.00104027795792,-1.8370738253e-05,-4340092.35246
6551,45760230.1308,44612333.0253,-763295.786012,0.00103286993504,-1.96595229208e-05,-4799422.79203
6552,43746335.0648,-1805047.13172,-43839248.2485,0.000514624238014,-1.12662790343e-05,-4751696.49578
6553,41217089.3278,-1766784.14856,-41433221.5445,0.000515074372292,-1.17989508435e-05,-4172075.33973
6554,40310442.8562,-1792829.41421,-40782661.5742,0.000514472663403,-1.06356078759e-05,-3245942.91051
6555,37919030.5098,37601624.4888,636325.175563,0.001015178442,-6.75692269579e-06,-3978804.72740
