Node ID,Von Mises Stress,Stress X,Stress Y,Displacement X,Displacement Y,Shear
17486,61900234.7399,67854672.1141,14873653.0145,0.000251243025064,1.91262755543e-05,2265967.60750
17487,88255181.7839,84629705.4291,13579822.9376,0.000226773142815,1.14064374939e-05,-23033561.7065
17488,88263640.6876,85840471.2677,13010821.5014,0.000227855309844,1.16389272735e-05,-21365527.7888
17489,58597767.8807,50082693.1000,-9164999.64396,0.000325332403183,-8.15234985203e-06,11290367.1265
17490,59923781.6254,51200500.8062,-9687129.73595,0.000323414206505,-7.59550370276e-06,11247843.4245
17491,65765572.0372,63467851.2755,-4347021.55704,0.000296890079975,6.25735428184e-06,-846484.053608
17492,66229808.1860,64239995.9564,-3750610.21532,0.000294994473457,6.83252606541e-06,-1238836.79509
17493,71749410.3297,65790915.8071,-9046164.11527,0.0002186588943,-2.94264219701e-05,6893107.01688
17494,71632691.1001,65616893.1325,-9330910.04690,0.000218315705657,-2.92382184416e-05,6489338.95429
17495,71236370.4480,64621379.8523,-9764157.53365,0.000217035070062,-2.85547766834e-05,7580361.36627
17496,46284944.1271,47590582.8476,2732576.80734,0.000106900729239,-6.34943880141e-06,58946.3046441
17497,47927095.5057,47826523.1450,168401.116505,0.000391252666712,-1.1799575761e-05,2425960.18314
17498,54805519.1092,53413579.6229,-2667193.98896,0.000339845448732,7.27988174185e-06,593333.637963
17499,80718225.4131,87987740.1988,17366931.9153,0.000271640390158,-4.73509430885e-05,136940.141752
17500,73242740.4824,69557331.0852,-5293640.13672,0.000302444040775,-3.45837622881e-05,-6583884.87498
17501,73664939.4152,70616109.8480,-4603967.22953,0.000301024615765,-3.52996364236e-05,-5585026.38340
17502,92266340.4593,70617380.7780,24439527.3527,0.000300979346037,9.1193234548e-06,39390472.7300
17503,49396203.0358,49498383.2041,830655.341347,0.000131933405995,-1.84717662632e-05,3179153.06489
17504,51745275.2559,51821948.0515,288089.682659,0.000432575523853,-4.53982166946e-05,-1517188.66825
17505,55345074.0088,46870429.3569,-8058267.39470,0.000188080966473,-4.3559181504e-06,-11882900.0791
17506,56818685.5757,48528191.8844,-8436498.80091,0.000189420998096,-3.60560999252e-06,-11442538.7383
17507,55539484.2746,56464925.4481,2506128.82773,0.000248930186033,-5.16071207821e-05,-3244184.71257
17508,52123095.0388,51208411.8071,-1399178.00682,0.000143033340573,9.43402387202e-06,-2639963.00243
17509,59775861.8432,55295785.5860,-7052354.81262,0.000332166671753,-3.01426295191e-05,-5027542.39241
17510,57259646.9670,54887130.7373,-4294872.04552,0.00018211761117,1.0958250612e-05,-1990889.32077
17511,57714634.5237,55155029.6148,-4602398.95185,0.000184414595366,1.03448498994e-05,-2150520.85121
17512,57255506.3063,54675237.9735,-4542375.48510,0.000180767059326,9.5559488982e-06,-2570520.00364
17513,58837725.5399,51822986.6028,-8425570.84560,0.000326109528542,-7.11625628173e-06,9462690.19445
17514,59911839.4007,53162952.4231,-8612129.37037,0.000324205935001,-6.15066336468e-06,8777129.25275
17515,50655685.5567,51029535.9294,795839.036504,9.48282927275e-05,1.79000645876e-05,-808883.796136
17516,49432038.5682,47016704.2414,-2459423.39301,0.000354173064232,-2.56593693048e-05,-6090243.93559
17517,35839419.0239,30482403.9141,-2539413.39254,0.000178904667497,-1.32907638326e-05,9511939.20771
17518,34780570.3963,30433660.5072,-1895747.07548,0.000177699953318,-1.30291040987e-05,8606044.49113
17519,50527272.9756,51347263.6541,1695182.84996,0.000246813192964,3.28495465219e-05,459414.638579
17520,75073588.4115,81470701.8534,15103218.7939,0.000271635442972,1.60855054855e-05,-557085.849345
17521,76440244.2596,82740521.7489,14750552.2569,0.000272614002228,1.57370325178e-05,46908.1501166
17522,46107721.0907,46974449.1577,2027976.79106,0.00012437222898,-1.16937477142e-05,1868464.01294
17523,45607129.6251,46588489.0329,2177230.65615,0.000124032519758,-1.05661507696e-05,1439504.02169
17524,45630436.4371,46501990.1366,2014284.82930,0.000127528235316,-1.12881874666e-05,1761869.52421
17525,52182324.8788,52235072.4538,272926.196456,0.000421640276909,-4.41948324442e-05,-1700398.62394
17526,50403171.5346,49332548.1415,-1240893.64211,0.000146820440888,3.14576667733e-06,-3830715.00063
17527,7707982.23959,2507706.23485,-6044315.49708,0.000329232871532,-2.27444712073e-06,691202.372623
17528,53997523.6266,57397489.1390,7950785.81855,0.000265758782625,2.08069439977e-05,-2190962.18404
17529,53774953.6617,57462701.7975,8555705.30891,0.000263151615858,2.11090091616e-05,-1655032.01882
17530,63258681.8898,55962999.6618,4449709.73333,0.000309897750616,-3.40272076428e-05,-19140033.8809
17531,73059537.6946,80454506.5562,18267194.4300,0.000259876847267,-4.80867065489e-05,-502044.034501
17532,74882497.0054,82378833.1350,18449135.7803,0.000259498566389,-4.79596555233e-05,-433541.990817
17533,74224995.3400,81752334.5947,18592089.0172,0.000260719388723,-4.81401830912e-05,-249419.103066
17534,57483355.0351,57265993.4362,-28524.8508056,0.000221694454551,1.95014663041e-05,2787339.48867
17535,52088183.7552,52115474.0651,93130.5969134,0.000443263590336,-5.04952631891e-05,-816725.532214
17536,49904041.0964,49771646.8175,329608.512421,0.000388501465321,-3.25875766575e-05,-3135442.95232
17537,50657256.7569,50422231.6742,112453.613430,0.000386441230774,-3.34997624159e-05,-3131226.14225
17538,69499049.5630,64031949.6791,-4724306.18604,0.000302982181311,1.49605271872e-06,11621843.0201
17539,54412853.5597,53276395.4798,-2191834.04247,0.000170746222138,1.96242369711e-05,-518704.618017
17540,34845110.8934,33959127.4261,546514.814720,0.00035174408555,-1.60286743194e-05,5138738.67194
17541,65666868.5764,62576633.7713,-5747007.25873,0.000219567358494,-3.43751981854e-05,-1102432.69602
17542,65229152.9747,61937720.4804,-6137936.09256,0.000217086419463,-3.34449112415e-05,-488927.393442
17543,25090117.9031,16145697.2395,5947165.71399,0.000199136584997,-2.90428120643e-05,11964988.2862
17544,55100920.1055,54163489.6596,-1714324.84190,0.000315165936947,1.58496275544e-05,-1487173.92484
17545,55236821.9949,54371696.7901,-1528403.15302,0.000310941398144,1.65726169944e-05,-1768917.11354
17546,52171311.1064,49268492.3808,-3660477.22101,0.000347653150558,-7.65751721337e-06,5794137.08051
17547,52699507.8518,49447931.6076,-4084862.98720,0.000344935953617,-7.51395570114e-06,6149960.87551
17548,54056884.1541,55930463.1551,4477337.28091,0.000273525029421,2.09950823337e-05,-2846226.41404
17549,51473635.7823,29009791.8510,23155732.6317,0.000206365704536,-3.39318364859e-05,25452715.5558
17550,58027999.4292,44800137.9013,-12120354.3186,0.000325894623995,-2.34823599458e-05,-14947684.6377
17551,81202940.6483,87760656.9926,15303518.9311,0.000276018351316,-4.63090203702e-05,-527205.899358
17552,57073016.0397,59227814.6744,5512782.49423,0.000275810062885,1.7648966983e-05,-3895057.45967
17553,57409461.7205,59129826.2278,4517354.17048,0.00027795290947,1.71393398196e-05,-3924870.43142
17554,48182529.6892,45694065.0940,-2208127.23041,0.000165011391044,-2.84104398452e-06,-6527747.11450
17555,49129018.2503,46155400.5941,-2794743.55777,0.00016765190661,-2.60523753241e-06,-6988951.52410
17556,128420998.999,118489719.391,14278391.2931,0.00028394600749,1.28651028499e-05,36240444.7283
17557,86168219.9065,64600126.9023,24153090.0002,0.000306236565113,-3.90403047204e-05,-37544225.6927
17558,51616739.0203,51444150.6068,196155.556361,0.000137954607606,-2.33564469963e-05,3046292.52354
17559,51077992.7114,50909877.7771,273721.154779,0.000137319624424,-2.20057386905e-05,3214854.65765
17560,51586369.1509,51324036.5982,76332.3998156,0.000141884312034,-2.30301748961e-05,3209808.38935
17561,79760224.0817,87552913.0300,19028122.9019,0.000260907202959,-4.79183569551e-05,162166.494876
17562,149575436.458,151107377.370,3174966.11675,0.000260169655085,1.51229444891e-05,1737055.87338
17563,50851666.0317,50880704.8798,72321.4844242,0.000475416749716,-5.45945726335e-05,-490015.932918
17564,49918296.3534,37037630.0812,-7288896.00436,0.000200294926763,-1.21510552708e-06,-16298863.2520
17565,51040994.2878,51119212.1506,235564.645380,0.000108883798122,1.87358334661e-05,-1154070.38728
17566,51240349.5192,51202071.8257,7624.20830627,0.000114047117531,1.95387490094e-05,-1198829.53167
17567,147592948.719,146426035.563,5920903.16614,0.000251331865788,-4.39757928252e-05,19790670.3949
17568,66191521.8954,71203115.4633,12234242.8366,0.000244649812579,1.73591151834e-05,3310258.13023
17569,67257697.7605,72158412.2976,11840788.1260,0.000243714332581,1.69827956706e-05,3212976.33648
17570,27333807.1633,764384.530485,-26907216.2310,0.00018464165926,-5.79970842227e-06,813835.605979
17571,44815553.4288,26628619.9888,18929963.9066,0.000205019012094,-3.28031443059e-05,21947556.4957
17572,150104352.780,151274692.899,4159905.01075,0.000257495313883,-4.44420427084e-05,9296371.24993
17573,42293067.2031,27068693.0021,-11113330.5232,0.000196662575006,-2.20742747188e-05,14510455.3699
17574,92808727.9571,99441958.1095,16371124.5855,0.000270329505205,1.62785761058e-05,5314129.51152
17575,26263149.8970,2978056.05332,-23515782.1973,0.000338309049606,-2.02194340527e-05,-4391692.71787
17576,26793574.0711,1924247.27480,-25190164.4071,0.000338609725237,-2.0168857649e-05,-3223682.97974
17577,27471909.8164,-1780167.89754,-26068807.2840,0.000334961801767,-6.26366585493e-06,-6281214.63458
17578,30195295.4997,-2250483.59235,-28464199.3841,0.000336646080017,-2.44672894478e-05,7315252.58223
17579,54317220.3486,45252035.4589,-8609320.72004,0.000333149880171,-2.29325350374e-05,-12095509.1317
17580,57155015.6110,59284626.3250,5350398.46102,0.000238490253687,1.96326933801e-05,3678699.98614
