Node ID,Equivalent Stress,Stress X,Stress Y,Deformation X,Deformation Y,Shear
3156,65787807.2965,-77901653.3333,-7650222.25,-0.000554128549993,8.75271798577e-05,6743899.41667
3157,66804219.8084,-81503922.6667,-9900642.25,-0.000549667223822,8.98077923921e-05,7602811.41667
3158,52741431.4347,-53037504.6667,4042.83984375,-0.000245344825089,0.000198431953322,-707763.385417
3159,52335226.0578,-69454421.3333,-14283473.0,-0.000517464068253,-0.000120816643175,2247337.02083
3160,51609972.1073,-70161268.0,-15613629.3333,-0.000512293947395,-0.000121801371279,1633858.38542
3161,53691249.4970,-53782696.0,426424.080729,-0.000333891046466,-0.000204507770832,-177496.952148
3162,53757257.8139,-53641406.0,599312.945313,-0.000349205336533,-0.000205509393709,-545067.583333
3163,53471512.8973,-52968876.0,664268.513021,-0.000406666775234,0.000205533506232,2214886.0625
3164,53223426.9659,-52812909.3333,474256.760417,-0.000402042438509,0.000214607411181,1865954.41667
3165,45126472.4955,-32641540.6667,781190.223470,-0.000672138528898,-1.66835125128e-05,-5956068.25
3166,63290948.5484,-66138759.3333,1778177.69063,-0.000440001022071,-9.99218391371e-05,-2454738.20833
3167,32482052.9735,-13241729.8333,4982335.41667,-0.000318728882121,-6.17551677351e-06,7776147.5
3168,30301317.2425,-11711898.2,4414892.55,-0.000316856225254,-4.37480548499e-06,5689881.1
3169,29072145.5510,-9311223.5,5369159.28571,-0.000315835146466,-2.95032896247e-06,3674117.73214
3170,53655085.9038,-52583456.5714,1291691.32143,-0.000666266307235,-0.000166355675901,-360241.084263
3171,53428667.3718,-52111059.3333,1335220.27083,-0.000679941091221,-0.000156849433552,-831021.541667
3172,53623339.3888,-53572814.5,316998.191895,-0.000368233799236,-0.000221995462198,-691343.078125
3173,56556905.1771,-54078987.3333,3341840.91667,-0.00062820664607,-0.000129310006741,-580940.994792
3174,56359098.0383,-53431970.0,3513111.79167,-0.000638237863313,-0.000120914992294,-1368204.8125
3175,55990958.6565,-54093884.6667,2741658.0,-0.000626888766419,-0.000140760821523,-55410.3951823
3176,55409287.5814,-52700904.0,2958575.46429,-0.000651373295113,-0.000122258847114,-1555892.07143
3177,50153968.5549,-3249027.8125,21120874.0,-0.000665551109705,-1.57572721946e-05,-3987979.02083
3178,51415604.3894,-1234810.15104,24852726.6667,-0.000665730738547,-1.78694481292e-05,-948113.714844
3179,49452678.7528,-53926170.6667,-4710923.95833,-0.00049027998466,-0.000181432566023,-1050552.85417
3180,42654413.0112,-44380009.1429,-2376965.85714,-0.00024769990705,2.79461346508e-05,-2531666.66071
3181,99902878.9146,-118570806.667,-11065730.25,-0.000463943521027,-8.94475233508e-05,19877229.0
3182,77568091.4475,-79813432.0,-15974807.5714,-0.000574523000978,-7.79439506005e-05,-28737206.0
3183,52999949.0208,-53082512.6667,332420.84375,-0.00063621357549,0.000217828754103,-555799.791667
3184,51288670.5938,-50847110.6667,-264168.604167,-0.000451496423921,0.000232967591728,1693712.625
3185,55435979.0680,-55603119.3333,808256.553385,-0.000574804318603,-0.000157916481839,2567165.75
3186,55922565.2400,-56377674.8571,706533.022321,-0.000570537173189,-0.000150090185343,2719169.14286
3187,100095965.519,-124132858.667,-10740995.5833,-0.000483772659209,-9.37660079217e-05,9083126.16667
3188,88721609.1785,-107101866.667,-13398540.0,-0.000539709988516,-9.08862930373e-05,-18476897.3333
3189,84186037.9987,-101261385.333,-13912130.1667,-0.000545060320292,-8.97096833796e-05,-18849829.5
3190,94360782.4896,-108739872.0,-12977916.3333,-0.00054563395679,-8.77694401424e-05,-24218055.6667
3191,56461313.4176,-68099374.6667,-8613602.0,-0.00053351034876,-0.000114123991807,3220008.29167
3192,49353336.9778,-48413668.0,-766284.125,-0.000821964582428,-5.35610997758e-05,-859713.71875
3193,48138228.5629,-49377257.1429,-886609.035714,-0.000234266000916,-8.60886939336e-05,2663438.67857
3194,55180265.0428,807787.738932,32125545.0,-0.00066985283047,1.19763608382e-05,-1287818.57292
3195,52792075.9736,-52505.28125,27788415.6667,-0.000668307417072,1.34449292091e-05,639216.40625
3196,77144498.9805,-81732853.3333,-15643798.5,-0.000423688994488,-7.67578821979e-05,28627471.0
3197,78076636.8344,-77357988.0,-19026144.0,-0.000416087190388,-7.44206627132e-05,33353385.3333
3198,58646561.2327,-65100573.3333,-3309189.08333,-0.000455914181657,-0.000114654299978,-4335274.70833
